Theme,Disciplines,Anápolis,Formosa,Goiânia,Inhumas,Jataí,Luziânia,Uruaçu
Technological formation,Administração de redes de computadores,,,,1,,,
Technological formation,Administração de serviços para internet,,1,,,1,,
Math formation,Algebra linear,1,,,,,1,1
Groundwork formation,Algoritmos,1,2,1,1,2,1,
Technological formation,Análise de sistemas,1,2,1,2,1,1,2
Technological formation,Arquitetura de computadores,2,,1,1,,1,1
Technological formation,Auditoria e segurança da informação,,1,1,1,,,
Technological formation,Banco de dados,2,2,2,2,2,2,2
Math formation,Cálculo diferencial e integral,3,1,1,,,1,1
Math formation,Cálculo numérico,1,,,,,,
Humanistic formation,Comportamento organizacional,,,1,,,,
Technological formation,Computação gráfica,1,1,,,1,,
Math formation,Contabilidade básica,,,1,,,,
Humanistic formation,Didática,1,,,,,,
Humanistic formation,Empreendedorismo,1,,1,1,1,1,
Technological formation,Engenharia de requisitos,,1,,1,,,
Technological formation,Engenharia de software,1,1,1,1,2,1,1
Technological formation,Estruturas de dados,2,2,2,2,1,2,1
Complementary formation,Ética e legislação na informática,,1,1,1,1,1,1
Technological formation,Física aplicada à ciência da computação,1,,,,,,
Groundwork formation,Fundamentos da computação,1,1,,1,1,,1
Groundwork formation,Fundamentos de economia,,,,1,,,
Groundwork formation,Fundamentos de sistemas de informação,,1,1,1,,1,1
Technological formation,Gerência de projetos,,1,1,1,,1,1
Humanistic formation,Gestão ambiental,,1,1,1,,1,1
Technological formation,Gestão da tecnologia da informação,,,1,,,1,
Humanistic formation,Gestão de custos,,,,1,,,
Humanistic formation,Gestão de pessoas,,,,1,,,
Humanistic formation,Gestão do conhecimento,,,1,,,,
Humanistic formation,Governança corporativa,,,,1,,,
Technological formation,Governança de tecnologia da informação,,,1,1,,1,1
Technological formation,Gramáticas e compiladores,1,,,,,,
Humanistic formation,Inglês instrumental,,1,,1,1,1,1
Technological formation,Inteligência artificial,1,,1,,1,,1
Technological formation,Interação humano-computador,1,1,1,1,1,1,1
Technological formation,Introdução à robótica,,,,,,,1
Technological formation,Introdução aos sistemas digitais,1,,,,,,
Technological formation,Laboratório de programação,1,,,,,,
Humanistic formation,Língua brasileira de sinais,1,1,1,1,1,,1
Humanistic formation,Língua portuguesa,,,1,,,1,1
Groundwork formation,Lógica computacional,1,1,1,1,,1,2
Technological formation,Manutenção de softtware,,,1,,,,
Math formation,Matemática elementar,1,1,,,1,1,1
Math formation,Matemática financeira,,,,1,,,
Groundwork formation,Metodologia científica,1,1,1,1,1,1,1
Technological formation,Mineração de dados,1,,,,,,
Technological formation,Padrões de projetos,,,,,,1,
Technological formation,Paradigmas de programação,1,,,,,,
Math formation,Pesquisa operacional,2,,1,1,,,
Humanistic formation,Planejamento estratégico,,,,1,,,
Technological formation,Prática fábrica de software,,,,3,,,
Math formation,Probabilidade e estatística,1,1,1,1,,1,1
Technological formation,Processamento digital de imagens,1,,,,,,
Technological formation,Programação,,,,,,2,
Technological formation,Programação orientada a objetos,1,1,2,2,3,,2
Technological formation,Programação para dispositivos móveis,1,,,1,,,1
Technological formation,Programação para web ,1,2,1,2,3,1,2
Technological formation,Projeto avançado de algoritmo,1,,,,,,
Technological formation,Projeto de sistemas de informação,,,1,,,1,
Complementary formation,Projeto interdisciplinar,,,,,4,,1
Technological formation,Qualidade de software,,1,1,2,,1,1
Technological formation,Redes de computadores,1,1,1,1,1,1,1
Technological formation,Redes móveis,,,,1,,,
Humanistic formation,Relações étnico-raciais e cultura afro-brasileira e indígena,1,1,1,1,,1,1
Technological formation,Segurança da informação,,1,,,1,1,1
Technological formation,Sistemas de informação aplicados a tomada de decisão,,,1,,,1,
Technological formation,Sistemas distribuídos,1,1,1,1,1,1,1
Groundwork formation,Sistemas operacionais,1,1,1,1,1,1,1
Humanistic formation,Tecnologia e sociedade,1,1,1,1,1,1,1
Humanistic formation,Tecnologias da educação,1,,,,,,
Technological formation,Tecnologias emergentes,,,,1,,,
Technological formation,Teoria da computação,1,,,,,,
Technological formation,Teoria dos grafos,1,,,,,,
Math formation,Teoria dos números,,,1,1,,,
Humanistic formation,Teoria geral da administração,,,1,,,1,1
Complementary formation,Tópicos avançados em computação,,3,1,,,1,
Complementary formation,Tópicos especiais,2,,3,,,,
